simulation_type,step,active_nodes,avg_ewma_pdr,resilience,redundancy_ratio,cluster_variance
Baseline_RLNC,13,26,0.7931542590298984,0.8666666666666667,0.4166666666666667,0.0
Baseline_RLNC,14,26,0.7925259041943215,0.8666666666666667,0.4444444444444444,0.0
Baseline_RLNC,15,24,0.7963501199359956,0.8,0.47058823529411764,0.0
Baseline_RLNC,16,24,0.8002870959255722,0.8,0.47058823529411764,0.0
Baseline_RLNC,17,24,0.799433097831348,0.8,0.47058823529411764,0.0
Baseline_RLNC,18,24,0.8000647640194432,0.8,0.47058823529411764,0.0
Baseline_RLNC,19,24,0.8024751506543101,0.8,0.5238095238095238,0.0
Baseline_RLNC,20,24,0.8022113486565438,0.8,0.5238095238095238,0.0
Baseline_RLNC,21,23,0.7948182609061561,0.7666666666666667,0.5263157894736842,0.0
Baseline_RLNC,22,23,0.7965816247663059,0.7666666666666667,0.5263157894736842,0.0
Baseline_RLNC,23,23,0.7959889872320786,0.7666666666666667,0.5263157894736842,0.0
Baseline_RLNC,24,23,0.7974203729353981,0.7666666666666667,0.5909090909090909,0.0
Baseline_RLNC,25,23,0.7925927846156658,0.7666666666666667,0.5909090909090909,0.0
Baseline_RLNC,26,23,0.796368731022137,0.7666666666666667,0.5909090909090909,0.0
Baseline_RLNC,27,22,0.798588333935843,0.7333333333333333,0.5238095238095238,0.0
Baseline_RLNC,28,21,0.7955188030573845,0.7,0.55,0.0
Baseline_RLNC,29,21,0.796677699558502,0.7,0.5833333333333334,0.0
Baseline_RLNC,30,21,0.7917400946087474,0.7,0.5833333333333334,0.0
Baseline_RLNC,31,20,0.7965548761157476,0.6666666666666666,0.6363636363636364,0.0
Baseline_RLNC,32,20,0.796780664910752,0.6666666666666666,0.6363636363636364,0.0
Baseline_RLNC,33,19,0.7984298434343643,0.6333333333333333,0.6363636363636364,0.0
Baseline_RLNC,34,19,0.8018873456098196,0.6333333333333333,0.6538461538461539,0.0
Baseline_RLNC,35,19,0.7976031668425735,0.6333333333333333,0.6538461538461539,0.0
Baseline_RLNC,36,19,0.789982779757478,0.6333333333333333,0.6538461538461539,0.0
Baseline_RLNC,37,19,0.7838858135783513,0.6333333333333333,0.6538461538461539,0.0
Baseline_RLNC,38,19,0.7832377573052814,0.6333333333333333,0.6538461538461539,0.0
Baseline_RLNC,39,19,0.788897739602096,0.6333333333333333,0.6666666666666666,0.0
Baseline_RLNC,40,19,0.7939883114463323,0.6333333333333333,0.6666666666666666,0.0
Baseline_RLNC,41,19,0.7948084711974225,0.6333333333333333,0.6666666666666666,0.0
Baseline_RLNC,42,19,0.7929646608442172,0.6333333333333333,0.6666666666666666,0.0
Baseline_RLNC,43,19,0.7938636401567676,0.6333333333333333,0.6666666666666666,0.0
Baseline_RLNC,44,18,0.7906161125991746,0.6,0.6451612903225806,0.0
Baseline_RLNC,45,18,0.7932089108397995,0.6,0.6451612903225806,0.0
Baseline_RLNC,46,17,0.7883398214205859,0.5666666666666667,0.6551724137931034,0.0
Baseline_RLNC,47,17,0.7902543369980072,0.5666666666666667,0.6551724137931034,0.0
Baseline_RLNC,48,17,0.7847970450513129,0.5666666666666667,0.6551724137931034,0.0
Baseline_RLNC,49,15,0.7811190976985828,0.5,0.65625,0.0
